No.,2VF1 B,3VF1 G,4VF1 R,5IR B,6IR G,7IR R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
230,2.273,1.938,1.408,0.009,0.014,0.017,3.183,3.371,2.316,457.3,521.4,622.3
231,2.239,1.944,1.407,0.009,0.014,0.016,3.133,3.43,2.321,457.5,524.4,622.2
232,2.193,1.928,1.398,0.009,0.015,0.018,3.159,3.374,2.315,458.2,523.2,621.6
233,2.269,1.943,1.409,0.013,0.015,0.012,3.138,3.387,2.403,457.3,521.3,622.2
234,2.233,1.94,1.417,0.014,0.015,0.013,3.057,3.33,2.423,460.1,524,622.2
235,2.266,1.937,1.418,0.015,0.015,0.012,3.408,3.304,2.454,458.3,523.9,621.9
236,2.265,1.933,1.392,0.009,0.013,0.018,3.379,3.358,2.346,457.7,523.7,622.1
237,2.235,1.943,1.409,0.014,0.015,0.013,3.061,3.369,2.406,457.9,521,622
238,2.199,1.926,1.399,0.014,0.014,0.011,3.112,3.384,2.398,457.7,523.4,621.6
239,2.27,1.942,1.408,0.013,0.015,0.013,3.095,3.39,2.405,457.1,521.3,622
240,2.212,1.95,1.41,0.01,0.015,0.016,3.196,3.472,2.352,457.6,523.9,621.7
241,2.258,1.939,1.4,0.014,0.015,0.013,3.4,3.304,2.4,458.8,523.7,621.6
242,2.267,1.938,1.409,0.01,0.014,0.016,3.396,3.309,2.335,457.5,523.8,621.8
243,2.233,1.938,1.411,0.009,0.013,0.018,3.134,3.325,2.334,458,524,622.1
244,2.273,1.936,1.413,0.014,0.015,0.011,3.127,3.292,2.412,457.2,524.1,622.1
245,2.267,1.936,1.41,0.008,0.014,0.017,3.181,3.295,2.32,457.2,523.8,622.2
246,2.267,1.943,1.41,0.014,0.015,0.011,3.108,3.365,2.402,457.3,521.4,622
247,2.198,1.944,1.408,0.008,0.013,0.018,3.21,3.431,2.343,457.9,524.6,622
248,2.192,1.933,1.4,0.016,0.015,0.011,3.074,3.369,2.408,457.6,523.7,621.4
249,2.26,1.938,1.41,0.014,0.014,0.012,3.107,3.293,2.423,457.3,523.6,621.9
250,2.211,1.947,1.409,0.014,0.015,0.012,3.139,3.45,2.415,458.2,524.9,622.2
251,2.216,1.922,1.411,0.014,0.014,0.01,3.14,3.519,2.426,457.4,525,621.5
252,2.269,1.938,1.4,0.013,0.014,0.013,3.32,3.32,2.4,457.4,523.9,621.5
253,2.213,1.948,1.409,0.01,0.015,0.016,3.194,3.45,2.341,457.5,524.7,621.6
254,2.274,1.93,1.398,0.009,0.013,0.017,3.388,3.376,2.323,457.2,523.8,621.5
255,2.269,1.941,1.407,0.009,0.014,0.017,3.211,3.362,2.32,457.2,521.3,622.2
