No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
78106,2.0672,8.835,7.068,3.43,4.229,2.662,457.7,525.7,621.3
78107,2.0997,8.681,7.003,3.234,3.975,2.537,457.7,524.9,621.4
78108,2.0452,8.79,7.1,3.385,4.234,2.864,457.9,524.3,621.4
78109,2.2898,8.613,7.018,3.181,4.13,2.459,459.8,524.2,621.3
78110,2.0318,9.065,0,3.277,4.07,2.566,457.6,525.6,621.4
78111,2.0182,8.643,6.515,3.103,3.944,2.388,457.6,524.7,621.7
78112,2.0971,8.818,6.963,3.165,4.061,2.456,457.5,526.3,621.4
78113,2.2589,8.771,7.04,3.149,3.811,2.392,459.5,525,621.4
78114,2.0476,8.746,7.09,3.222,4.061,2.441,457.7,524,621.3
78115,2.1429,8.478,6.949,3.213,3.824,2.578,458.2,524.6,621.3
78116,2.0771,8.779,6.999,3.234,3.678,2.43,457.6,524.5,621.4
78117,2.0506,8.808,6.933,3.246,3.984,2.425,457.6,524,621.5
78118,2.3983,8.924,6.892,3.109,3.987,2.59,460.7,525.4,621.5
78119,2.1253,8.873,7.004,3.174,3.845,2.409,457.9,524.7,621.3
78120,2.1984,8.688,7.15,3.277,3.999,2.438,459.2,524.3,621.2
78121,2.0992,8.522,7.109,3.176,3.86,2.435,457.7,525.7,621.2
78122,2.0124,8.868,7.096,3.178,3.974,2.406,457.5,524.1,621.2
78123,2.1874,8.645,7.048,3.29,3.792,2.441,458.4,525.2,621.1
78124,2.0367,8.563,7.01,3.232,3.84,2.438,457.4,525,621.2
78125,2.112,8.784,7.153,3.223,3.994,2.558,458.1,524.5,621.1
78126,2.1535,8.608,7.004,3.342,3.887,2.401,458.2,524.4,621.2
78127,2.1035,8.686,7.153,3.216,3.576,2.436,457.9,524.8,621.5
78128,0,8.915,7.088,3.1,4.312,2.495,457.6,524.3,621.5
78129,2.1603,8.592,6.974,3.272,3.613,2.443,458,525.1,621.6
78130,2.0754,9.009,7.064,3.249,3.979,2.593,457.8,524.6,621.3
78131,2.0578,8.759,6.988,3.236,3.651,2.433,457.8,525.8,621.1
78132,1.9739,8.589,6.366,3.24,3.838,2.432,457.4,524.6,621.5
78133,2.0902,8.918,7.072,3.21,4.093,2.565,458,524.6,621.3
78134,2.0799,8.778,7.018,3.107,4.029,2.639,457.7,524.4,621.2
78135,2.169,8.842,6.536,3.094,4.002,2.406,458.6,524.3,621.7
78136,2.0013,8.774,7.166,3.143,4.021,2.424,457.3,524.2,621.2
78137,2.0262,8.439,7.1,3.23,3.957,2.432,457.3,525.2,621.3
78138,2.0759,8.625,6.962,3.205,3.853,2.418,457.6,524.2,621.4
78139,2.1508,8.759,6.949,3.273,3.819,2.431,458.2,526.1,621.5
78140,2.292,8.649,7.052,3.173,4.172,2.469,459.6,523.7,621.1
78141,2.2193,8.621,6.981,3.109,3.991,2.53,459,523.9,621.2
78142,2.1921,9.024,7.102,3.238,3.776,2.468,458.1,525.2,621.5
78143,2.103,8.825,7.032,3.228,3.882,2.467,458.1,525.5,621.4
78144,2.08,8.667,7.109,3.27,3.667,2.432,457.8,524.1,621.6
78145,2.1256,8.834,6.982,3.177,3.77,2.447,458.2,524.6,621.3
78146,2.0833,8.596,7.046,3.152,3.938,2.5,458.1,525.2,621.2
78147,2.0597,8.814,7.099,3.242,3.82,2.46,457.5,524.8,621.2
78148,2.0582,8.878,6.996,3.292,3.603,2.464,457.8,525.5,621.5
78149,2.2139,8.798,7.029,3.188,3.616,2.512,458.9,525.6,621.2
78150,2.1252,8.624,7.003,3.243,3.572,2.488,457.8,525,621.6
78151,2.115,8.926,7.079,3.198,3.851,2.513,457.7,525.2,621.3
78152,2.0914,8.719,7.156,3.165,3.75,2.52,457.7,523.9,621.3
78153,2.0995,8.74,7.06,3.242,3.991,2.422,457.6,524.6,621.2
78154,2.1117,8.609,6.945,3.282,4.02,2.44,458.4,523.9,621.5
78155,2.0257,8.691,6.964,3.279,3.808,2.471,457.5,526.3,621.3
78156,2.0322,8.71,7.09,3.277,3.88,2.428,457.6,524.3,621.2
78157,2.1363,8.768,6.473,3.196,3.801,2.482,458.4,524,621.6
78158,2.0951,8.643,7.079,3.224,3.567,2.484,457.8,524.9,621.4
78159,2.0995,8.715,7.032,3.197,4.049,2.595,457.7,524.3,621.3
78160,2.2123,8.7,7.046,3.313,3.574,2.525,458.9,524.8,621.4
78161,2.0978,8.598,7.154,3.331,3.711,2.395,458.4,523.9,621.3
78162,2.0995,8.835,6.929,3.419,3.497,2.428,457.5,525.6,621.3
78163,2.0946,8.771,7.254,3.495,3.739,2.436,457.6,525,621.3
78164,2.083,8.802,7.107,3.269,3.888,2.46,457.6,524.3,621.2
78165,2.0531,8.682,7.078,3.16,3.719,2.599,457.5,524.2,621.4
78166,2.108,8.806,6.896,3.155,3.554,2.613,457.6,525.7,621.4
78167,2.0203,8.909,7.108,3.413,3.724,2.46,457.2,525.8,621.3
78168,2.1259,8.929,6.931,3.457,3.74,2.47,458,525.4,621.5
78169,2.0778,8.807,6.996,3.21,3.729,2.546,457.9,525,621.4
78170,2.1659,8.826,7.129,3.116,3.744,2.596,458.7,524.3,621.3
78171,2.0927,8.952,7.18,3.255,3.673,2.613,457.7,524.2,621.3
78172,2.0249,8.68,7.173,3.233,3.875,2.592,457.2,523.9,621.2
78173,2.201,8.494,6.961,3.132,3.577,2.607,459,523.9,621.4
78174,2.1186,8.605,6.996,3.189,3.563,2.602,457.9,524.9,621.3
78175,2.0313,8.469,6.936,3.27,3.535,2.571,457.4,525.2,621.4
78176,2.1411,8.702,6.888,3.323,3.633,2.499,458.3,525,621.5
78177,2.082,8.978,7.073,3.39,3.736,2.452,457.8,525,621.3
78178,2.0282,8.705,6.979,3.293,3.666,2.668,457.5,524.1,621.3
78179,2.0654,8.881,7.032,3.152,3.979,2.627,457.5,524.7,621.3
78180,2.3116,8.903,7.021,3.49,3.788,2.63,459.8,524.7,621.2
78181,2.1158,8.586,7.082,3.54,3.627,2.439,458.2,525.1,621.4
78182,2.1143,8.765,6.984,3.508,3.719,2.462,457.4,524,621.4
78183,2.1814,8.727,7.129,3.108,3.836,2.728,458.5,524.3,621.2
78184,2.105,8.58,7.1,3.202,3.538,2.742,457.7,526,621.4
78185,2.0448,8.941,7.144,3.335,3.797,2.533,457.9,524.5,621.3
78186,2.0582,8.875,7.054,3.384,3.748,2.784,457.7,524.6,621.2
78187,2.0766,8.771,7.011,3.257,3.678,2.67,457.9,525.6,621.6
78188,2.0927,8.922,6.936,3.158,3.551,2.763,457.6,524.9,621.3
78189,2.069,8.78,7.062,3.158,3.747,2.817,457.6,524,621.2
78190,2.0574,9.07,7.06,3.293,3.834,2.584,457.4,525.4,621.3
78191,2.2082,8.563,7.101,3.121,3.733,2.77,459.5,523.9,621.3
78192,2.0016,8.578,7.091,3.082,3.708,2.819,457.5,524,621.3
78193,2.0404,8.683,7.011,3.163,3.656,2.801,457.5,524.5,621.3
78194,2.1246,9.121,7.072,3.505,3.798,2.529,457.7,524.9,621.4
78195,2.1305,8.821,6.95,3.153,3.485,2.638,458.1,526.3,621.4
78196,2.37,8.872,7.042,3.3,3.645,2.481,460.4,524.3,621.2
78197,2.1453,8.838,7.165,3.548,3.953,2.459,458.2,524.9,621.2
78198,2.0908,8.461,7.045,3.221,3.686,2.825,457.8,523.8,621.2
78199,2.2214,8.636,6.982,3.379,3.459,2.465,459.1,524.8,621.4
78200,2.0906,8.87,7.061,3.148,3.605,2.625,457.5,526.4,621.2
78201,2.0894,8.628,7.035,3.38,3.691,2.666,458.1,524.9,621.3
78202,1.9914,8.823,7.09,3.256,3.718,2.585,457.2,525.7,621.2
78203,2.1332,9.008,7.286,3.307,4.007,2.81,458.1,524,621.2
78204,2.2411,8.887,7.14,3.094,4.01,2.69,459.3,524.2,621.3
78205,2.0815,8.666,6.997,3.458,3.848,2.402,457.6,525.4,621.3
78206,2.0577,8.795,7.028,3.429,3.98,2.425,457.6,524.5,621.2
78207,2.0465,8.709,6.871,3.134,3.81,2.806,457.5,524.2,621.4
78208,2.1177,8.899,7.003,3.176,3.64,2.703,457.9,524.5,621.4
78209,2.154,8.554,6.982,3.499,3.582,2.427,458.6,524.3,621.3
78210,2.0901,8.643,6.971,3.251,3.512,2.592,458.1,525.7,621.5
78211,2.0758,8.731,7.02,3.28,4.039,2.423,457.7,524.3,621.4
78212,2.1501,8.697,7.045,3.604,3.749,2.421,458,525,621.3
78213,2.1653,8.645,7.008,3.469,3.751,2.396,458.3,525.2,621.4
78214,2.0599,8.797,7.035,3.293,3.76,2.418,457.6,524.2,621.3
78215,2.1991,8.604,7.005,3.478,3.544,2.403,458.4,524.1,621.3
78216,2.105,8.889,7.067,3.456,3.96,2.411,457.9,525,621.3
78217,2.0652,8.652,6.904,3.229,3.826,2.667,457.5,525,621.7
78218,2.1679,8.598,6.987,3.452,3.793,2.378,458.1,524.2,621.5
78219,2.1438,8.86,7.049,3.296,4.132,2.416,458.3,525.2,621.1
78220,2.1188,8.905,6.911,3.141,3.655,2.64,457.6,525.8,621.4
78221,2.1991,8.815,7.038,3.596,3.551,2.39,458.8,526.4,621.4
78222,2.1331,8.874,7.004,3.126,3.71,2.693,457.9,524.3,621.4
78223,2.1881,8.721,7.086,3.593,3.712,2.413,458.8,525.5,620.9
78224,2.1293,8.902,6.896,3.125,3.794,2.65,457.9,525,621.5
78225,2.0722,8.73,7.117,3.43,4.107,2.405,457.8,523.9,621.4
