크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
15시간 전,본오동,교촌치킨-사동2호점,ky**님,15시간 전,교촌반반윙/1,배달도 빠르고 정말 맛있었어요~~,5,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
15시간 전,본오동,교촌치킨-사동2호점,xo**님,15시간 전,교촌허니순살[R]/1,"아들과 화요일마다 치킨데이를 합니다. 저희집에 배달오는 교촌치킨이 세군데인데, 한곳은 치킨이 너무 바싹 튀겨져 상대적으로 딱딱하고,한곳은 교촌 특유의 소스가 일정하게 발라지지 않는 느낌입니다. 아들과 세곳 모두 시켜본 결과 아들도 저도 이곳이 가장 맛있다는 평가입니다. 사장님은 모르시겠지만 화요일마다 치킨 시키는 집이 있을꺼에요 ㅋㅋㅋㅋ 오늘도 잘 먹었습니다.",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/149d0a172600b9ec4bb12c7a2609290f_tn.jpg
어제,본오동,교촌치킨-사동2호점,o1**님,어제,교촌오리지날/1,도착예상시간보다  빨리와서좋았어요ㅎㅎ잘튀겨지고 깔끔하게왔네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9653aa0d8d8d12be92d789755d398ea9_tn.jpg
어제,본오동,교촌치킨-사동2호점,58**님,어제,,정말 맛있게 잘 먹었어요 ^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/a6ef3f9d9618a549f033ffbf834034f2_tn.jpg
어제,본오동,교촌치킨-사동2호점,wj**님,어제,,맛있게 잘먹었습니다~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
어제,본오동,교촌치킨-사동2호점,lc**님,어제,,맛있어요 또 주문할게요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f76a462086d4e69b424b689ed378ade9_tn.jpg
2일 전,본오동,교촌치킨-사동2호점,kk**님,2일 전,반반오리지날＋퐁듀치즈볼[6개]/1,덕분에 맛있게 잘 먹었습니다 치즈볼은 단짠 이라 맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/af338f0bf263e115d76d0366ad568b2e_tn.jpg
2일 전,본오동,교촌치킨-사동2호점,su**님,2일 전,교촌반반콤보/1,치킨 다른매장보다 바삭하고 소스간도 딱 좋아요서비스로 보내주신 웨지감자도 너무 맛있습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,본오동,교촌치킨-사동2호점,ar**님,3일 전,시그니처세트/1,뒤늦게 작성하지만 잘먹었어용~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/34dac3179b73d85b9a3adf08c7e57fad_tn.jpg
3일 전,본오동,교촌치킨-사동2호점,ti**님,3일 전,시그니처순살세트/1,확실히 교촌은 순살보다는 콤보가 갑인듯!시그니처 콤보도 나왔으면 좋겠어요잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e73a635fb866cccbd0f48909a08549ca_tn.jpg
3일 전,본오동,교촌치킨-사동2호점,ju**님,3일 전,교촌오리지날/1,맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/42bcf7d2106cd44919f3ca09fac10503_tn.jpg
3일 전,본오동,교촌치킨-사동2호점,sk**님,3일 전,교촌레드콤보/1(디핑소스 추가(레드디핑소스)),주말 피크시간이라 시간은 걸렸지만 맛있게 잘먹었습니다.소스가 빠졌었는데 오토바이에 두고오셨었어서 다행이 소스도 같이 먹었네요~,5,4,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/955e523bdab0e13ea19d9b26f6123aaf_tn.jpg
