크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
4일 전,본오동,뉴욕버거앤치킨-사동점,ph**님,4일 전,"해쉬브라운 치킨버거/1,[버거맛집]싱글세트/1(버거선택(갈릭치킹버거 선택))",맛있게 잘 먹었습니다~^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/603b14b66f9e60ef0aa9e3f64d46b0c8_tn.jpg
6일 전,본오동,뉴욕버거앤치킨-사동점,il**님,6일 전,뉴욕육해공box/1(치킹버거선택(치킹버거（갈릭）)),양많고 맛있어요 ~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/90ba323df8bd77edcc447d96930ca468_tn.jpg
2021년 10월 25일,본오동,뉴욕버거앤치킨-사동점,sk**님,2021년 10월 25일,갈릭치킹버거세트/1(사이드선택(빅후렌치 후라이)),너무 맛있다 담에 또먹을래요,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9b1eb51908c39522637e1635886275e9_tn.jpg
2021년 10월 21일,본오동,뉴욕버거앤치킨-사동점,be**님,2021년 10월 21일,뉴욕육해공box/1(치킹버거선택(치킹버거（갈릭）)),햄버거 맛있습니다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 21일,본오동,뉴욕버거앤치킨-사동점,sa**님,2021년 10월 21일,"뉴욕버거 세트/1(사이드선택(어니언링)),갈릭치킹버거세트/1(사이드선택(어니언링))",맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/53714122d99d29da8499450f74389d0d_tn.jpg
2021년 10월 17일,본오동,뉴욕버거앤치킨-사동점,cj**님,2021년 10월 17일,"갈릭치킹버거/1(추가선택메뉴(체다치즈)),리얼딥치즈버거/1,프라이 팩/1",처음 먹어봤는데 맛있었어요 !!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8bf8adebddeacb00db2ce431b3611f3f_tn.jpg
2021년 10월 17일,본오동,뉴욕버거앤치킨-사동점,ye**님,2021년 10월 17일,"뉴욕버거/1(추가선택메뉴(계란)),더블 스테이크 버거 세트/1(추가선택메뉴(베이컨),사이드선택(빅후렌치 후라이)),콜라 1.25l/1",고기 패티를 사용하는 버거중에는 가장 깔끔했고 브모님 입맛에는 별로였으나 학생인 제 입맛엔 부담스럽지 않고 되게 좋았어요,5,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 15일,본오동,뉴욕버거앤치킨-사동점,yo**님,2021년 10월 15일,투게더 box/1(치킹버거선택(치킹버거（갈릭）)),포테이토 대박 맛있네요 햄버거도 맛있었음,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5e03ba2aaecbbc40ed7158b0005ff58c_tn.jpg
2021년 10월 15일,본오동,뉴욕버거앤치킨-사동점,ch**님,2021년 10월 15일,"갈릭치킹버거세트/1(사이드선택(빅후렌치 후라이)),통새우버거 세트/1(사이드선택(빅후렌치 후라이))",너무 맛있게 잘 먹었습니다.번창 하세요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/92761b054b909bc42374a8fc400251ae_tn.jpg
2021년 10월 14일,본오동,뉴욕버거앤치킨-사동점,dl**님,2021년 10월 14일,"뉴욕버거/1,통새우버거/1(추가선택메뉴(비프패티)),해쉬브라운 치킨버거/1,프라이 팩/1",맛잇게 잘 먹었습니다~~!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/dfa14344fd017b727e40a7fcf4c48803_tn.jpg
2021년 10월 12일,본오동,뉴욕버거앤치킨-사동점,yn**님,2021년 10월 12일,뉴욕육해공box/1(치킹버거선택(치킹버거（갈릭）)),버거야 너는 맛있어서 내 큰입으로 먹으면 금방 사라져버려우리 다음에 또 만나,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6a30dc3df72422effcc6750cd0009cf8_tn.jpg
2021년 10월 12일,본오동,뉴욕버거앤치킨-사동점,oh**님,2021년 10월 12일,"갈릭치킹버거세트/1(사이드선택(대왕치즈스틱 2조각)),리얼딥치즈버거세트/1(사이드선택(빅후렌치 후라이))",갓갓 버거 갓갓 버거,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/881f0422ccdab3f53c8a8e5d7193c85a_tn.jpg
2021년 10월 11일,본오동,뉴욕버거앤치킨-사동점,ch**님,2021년 10월 11일,"통새우버거/1,비프불고기버거/1,뉴욕버거 세트/1(사이드선택(빅후렌치 후라이))",배달빠르고 요청사항 잘들어주시고 맛있게 잘먹었습니다 서비스도 잘챙겨주시고 감사합니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 8일,본오동,뉴욕버거앤치킨-사동점,li**님,2021년 10월 8일,연인콤보/1(버거선택(갈리치킹버거 선택)),먹고싶은 메뉴들을 전부 다 먹을 수 있는 구성이라 매우 좋았어요두명이서 먹기 괜찮은 양이었고 맛도 좋았네요특히 감자가 맛있었던 거 같아요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/a86bb1fe3199a11c53a56ad61cb5e798_tn.jpg
2021년 10월 6일,본오동,뉴욕버거앤치킨-사동점,wu**님,2021년 10월 6일,"갈릭치킹버거/2,해쉬브라운 치킨버거/2","So good，if you like chicken,please try it",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 4일,본오동,뉴욕버거앤치킨-사동점,pr**님,2021년 10월 4일,뉴욕베이직box/1,아이가 너무 좋아 해요~오랜만에 햄버거 맛있게 잘 먹었습니다 ~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6e32d5a7d95cce6b834a4d30e9b275f8_tn.jpg
2021년 10월 4일,본오동,뉴욕버거앤치킨-사동점,be**님,2021년 10월 4일,"갈릭치킹버거세트/1(사이드선택(더블치즈프라이즈)),더블 스테이크 버거 세트/1(사이드선택(빅후렌치 후라이))",오이 알러지가 있어서 피클빼달라고 요구사항에 적었는데 혹시나 싶어 버거 열어봤더니 피클이 들어있더군요. 아마 실수였겠지만 그대로 먹었다면 고생 좀 했을거 같네요. 앞으로 좀 더 신경써주시는 매장이 되면 좋겠습니다.,1,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 3일,본오동,뉴욕버거앤치킨-사동점,ca**님,2021년 10월 3일,뉴욕육해공box/1(치킹버거선택(치킹버거（칠리）)),치즈뿌려진 감자튀김! 와 진짜 맛있어요.버거는 크기가 좀 작은듯.감튀는 진짜 최고네요,5,3,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 1일,본오동,뉴욕버거앤치킨-사동점,dk**님,2021년 10월 1일,연인콤보/1(버거선택(갈리치킹버거 선택)),.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 29일,본오동,뉴욕버거앤치킨-사동점,hj**님,2021년 9월 29일,"뉴욕버거 세트/1(추가선택메뉴(계란),사이드선택(빅후렌치 후라이)),비프불고기버거 세트/1(추가선택메뉴(체다치즈,해쉬브라운),사이드선택(케이준후렌치 후라이)),어니언링（8pc）/1,더블 치즈프라이즈/1","진짜 너무 너무 맛있게 먹었어요특히 치즈프라이,, 진짜 환장하게 맛있는 맛 치즈 소스랑 샤워크림인가,,? 여튼 생각했던 맛은 절대 아닌데 엄청 맛있음버거도 역시 존맛 ㅜㅜ 뉴욕버거 새콤한 케챱맛 소스도 맛있고 비프불고기도 맛있는데 소스가 적어서인지 소스맛이 안났어요ㅠㅜ그치만 패티도 너무 맛있고 야채도 싱싱해서 맛있게 먹었어요어니언링도 엄청 달고 맛있어유 꼭 드세유",5,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e18f08751a5fba48df2a1ecbf1cc8928_tn.jpg
2021년 9월 28일,본오동,뉴욕버거앤치킨-사동점,bu**님,2021년 9월 28일,"뉴욕버거/1,비프불고기버거 세트/1(사이드선택(빅후렌치 후라이)),프라이 팩/1",맛이 신선하고 깔끔하고  맛있어요^^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 26일,본오동,뉴욕버거앤치킨-사동점,et**님,2021년 9월 26일,"갈릭치킹버거/4,콜라 1.25l/1",받자마자 따듯해서 먹느라 사진도 못 찍었네요. 갈릭치킹이 진리에요. 생각보다 배달도 빨리 왔어요.맛있게 잘 먹었습니다~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 25일,본오동,뉴욕버거앤치킨-사동점,wh**님,2021년 9월 25일,투게더 box/1(치킹버거선택(치킹버거（칠리）)),뉴욕 버거 앤 치킨이란 브랜드는 처음먹어보는데 정말 맛있게 잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 24일,본오동,뉴욕버거앤치킨-사동점,sa**님,2021년 9월 24일,"뉴욕버거 세트/1(사이드선택(어니언링)),갈릭치킹버거세트/1(사이드선택(빅후렌치 후라이))",맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8bc1d431214bf005e696b3012cc2fa8b_tn.jpg
2021년 9월 23일,본오동,뉴욕버거앤치킨-사동점,ty**님,2021년 9월 23일,뉴욕육해공box/1(치킹버거선택(치킹버거（갈릭）)),이상하게 치킨버거가 먹고 싶으면 여기만 시키네요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 23일,본오동,뉴욕버거앤치킨-사동점,rs**님,2021년 9월 23일,뉴욕버거 세트/2(사이드선택(빅후렌치 후라이)),맛있게 자럭었어요~,4,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 16일,본오동,뉴욕버거앤치킨-사동점,do**님,2021년 9월 16일,"갈릭치킹버거/1,뉴욕버거 세트/1(추가선택메뉴(베이컨),사이드선택(대왕치즈스틱 2조각)),콜라 355ml/1",맛있어요~ 최저금액 맞춰서 시켰는데 결국 혼자 다먹어버렸내요;; ㅎ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 15일,본오동,뉴욕버거앤치킨-사동점,du**님,2021년 9월 15일,투게더 box/1(치킹버거선택(치킹버거（갈릭）)),맛있어요 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7bf459293bd96f29731acaf575758375_tn.jpg
2021년 9월 13일,본오동,뉴욕버거앤치킨-사동점,ki**님,2021년 9월 13일,"뉴욕버거 세트/1(추가선택메뉴(체다치즈),사이드선택(어니언링)),뉴욕버거 세트/1(추가선택메뉴(체다치즈,해쉬브라운),사이드선택(더블치즈프라이즈)),순살컵치킨（7~8조각）/1,대왕치즈스틱（2조각）/1",마싯습니댜 ㅎㅎㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4ad9e68e48d15076833f171750e58632_tn.jpg
