크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2시간 전,본오동,멕시카나-안산고잔점,qo**님,2시간 전,뿌리고（매콤달콤한맛）/1(소스 추가(불닭마요소스（매콤고소）)),역시 맛있습니당 다음에도 시켜먹을게요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c71e39dde3bcfbec553a985652df908d_tn.jpg
5시간 전,본오동,멕시카나-안산고잔점,fe**님,5시간 전,순살허니벌꿀치킨/1,멕시카나는 믿고 먹습니다.근데 리뷰이벤트 제품은 계속 대체품으로 오네요.사정이 있으시겠지만 이 정도면 리뷰이벤트 내용을 수정하시면 어떨까요?,4,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c06bd8b581eea282059668ab7d0ca8a8_tn.jpg
9시간 전,본오동,멕시카나-안산고잔점,so**님,9시간 전,땡초치킨/1,감사히잘먹었습니다 정말 너무 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/dfd2504592a56ca9c8811353a8ba5d97_tn.jpg
10시간 전,본오동,멕시카나-안산고잔점,be**님,10시간 전,순살마늘알마니치킨＋단짠감자치즈볼1개/1,너무 맛있게 잘 먹었어요.마늘이라 매운맛이 강하게 날줄 알았는데 너무 맛있네요 ㅎㅎ소스는 뿌려 먹지 말고 찍어서 드시는 걸 추천해요ㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4090be58dfde02c1d20d5380da86158f_tn.jpg
11시간 전,본오동,멕시카나-안산고잔점,tj**님,11시간 전,멕시콤보（후라이드＋간장）/1,치킨은 맛있었는데 문 앞에 두고 문자를 안하셔서 늦게 받았네요... 배달 15분 전에 혹시 하고 열었는데 있어서 많이 놀랐습니다 기사님^^,5,5,1,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1788f653a3e55f391cbfa961219ad98c_tn.jpg
11시간 전,본오동,멕시카나-안산고잔점,mj**님,11시간 전,멕시핀（후라이드）/1,맛있게 잘 먹었어요~~다음에 또 주문하겠습니다!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3081a9321a52c2ce51d180607a68ff79_tn.jpg
14시간 전,본오동,멕시카나-안산고잔점,se**님,14시간 전,반반치킨（후라이드＋양념）/1,치킨의 왕도 치킨의 정석멕시카나는 사랑입니다.멕시카나는 믿음입니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4e8fa2db2c812ad9a54e8ce33efeae8e_tn.jpg
19시간 전,본오동,멕시카나-안산고잔점,ql**님,19시간 전,멕시핀（양념）/1,맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/87b4ae664e968293a2b483f03727d7ff_tn.jpg
22시간 전,본오동,멕시카나-안산고잔점,ke**님,22시간 전,뿌리고（매콤달콤한맛）/1,시즈닝치킨 중 최고는 치토스치킨...... 대한민국 국민들 다 알아야합니다,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/20c83a0bac0dba11a988c23fee4e8544_tn.jpg
22시간 전,본오동,멕시카나-안산고잔점,ke**님,22시간 전,불닭치킨/1,안산 멕시카나중에서 젤 맛있어요! 양념인데도 바삭해요,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2c1bcf42f39b6276a80b6f4609932327_tn.jpg
23시간 전,본오동,멕시카나-안산고잔점,an**님,23시간 전,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))",맛있어요ㅎㅎㅎ 닭이 엄청 크네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9320890dcea647cd60af9e04958aa191_tn.jpg
어제,본오동,멕시카나-안산고잔점,qp**님,어제,마늘알마니치킨＋단짠감자치즈볼1개/1,배달도 엄청 빠르고 마늘이 생각보다 쌔서 아쉬운거 빼면치킨도 맛있고 잘먹었습니다 담엔 다른걸로 시켜봐야겠네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/718621bc96b60450d72fc6f7b1f1134c_tn.jpg
어제,본오동,멕시카나-안산고잔점,lj**님,어제,모두의마요＋케이준V컷감자＋콜라1.25/1,맛은 아주 좋아요 사장님도 친절하시고요ㅎㅎ 근데 리뷰상품은  못받았네요ㅎㅎ,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1a67916baa86ef291586accf67de3906_tn.jpg
어제,본오동,멕시카나-안산고잔점,sh**님,어제,"순살세트/1(순살선택 1(순살후라이드),순살선택 2(순살뿌리고（눈꽃치즈맛）),사이드메뉴 추가(케이준 V컷 감자))",늦은시간까지 빠르게 배달해주시고 감사합니다 ㅜㅜ 동생이 시캬달라거해서 시켰는데 잘먹고있어요s2s2,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/72216809d99d7fbcc2cb09f3d3138253_tn.jpg
어제,본오동,멕시카나-안산고잔점,ki**님,어제,순살파닭/1,배달 빠르고 양 많아서 좋아요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
어제,본오동,멕시카나-안산고잔점,ls**님,어제,순살마늘알마니치킨＋단짠감자치즈볼1개/1,맛있게 잘 먹었습니다~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
