크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
46분 전,본오동,청년치킨-상록수점,he**님,46분 전,"청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL),추가선택(특제 양념소스 추가))",너무맛나게잘먹었어요 닭냄새 1도없 초깔끔한 후라이드 글고 보내주신감튀도홀딱반했네요~~^^재주문백퍼!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3491aaa1c868d5bfc5f51b3b4a2a0beb_tn.jpg
20시간 전,본오동,청년치킨-상록수점,ma**님,20시간 전,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),너무 맛있어요~~~~~닭도 큼직허니 씹는맛이~~~굿!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4e0f633faba5d53caa4317b6db632dd6_tn.jpg
어제,본오동,청년치킨-상록수점,he**님,어제,청년（양념반＋간장반）/1(뼈or순살 선택(순살＋콜라500mL)),맛있게 잘 먹었습니다!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/710b03fbf4b3d1ab8579cd61fc691267_tn.jpg
2일 전,본오동,청년치킨-상록수점,su**님,2일 전,청년（후반＋핫간장반）/1(뼈or순살 선택(뼈)),튀김옷이 진짜 바삭하고 양도 은근 낭낭해서 배부르게 먹었어요,5,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d4a80f854ff17f081a6c49dad0888fc6_tn.jpg
2일 전,본오동,청년치킨-상록수점,st**님,2일 전,"청년 뿌링치즈치킨 강추!/1(뼈or순살 선택(순살＋콜라500mL),추가선택(치즈 할라피뇨 추가)),펩시콜라1.25L/1,특제양념소스/1,참이슬후레쉬/3",Delicious food! Speedy delivery! Very happy! 10/10 I will order again :),5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,본오동,청년치킨-상록수점,al**님,2일 전,청년（뿌링치즈반＋후반）/1(뼈or순살 선택(뼈＋콜라500mL)),바삭바삭치킨! 너무 맛있어오..ㅠ.ㅠ  서비스로 주신 치즈두 넘 맛있규.. 잘 먹었습니다아,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1922552b34e117243ea3d148edc4e3be_tn.jpg
2일 전,본오동,청년치킨-상록수점,ja**님,2일 전,"청년 후라이드 바삭매콤/1(뼈or순살 선택(순살＋콜라500mL),추가선택(양념소스 추가))",완전 빠삭한 후라이드 치킨 잘 먹었어용 값도 싼데다 후라이드의 정석을 먹을 수 있는곳!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,본오동,청년치킨-상록수점,sh**님,2일 전,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),괞잖네 괞잖네 괞잖네 괞잖네,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,본오동,청년치킨-상록수점,mm**님,3일 전,"청년（후반＋매운양반）/1(뼈or순살 선택(뼈＋콜라500mL),반마리 추가선택(간장 반마리（뼈）추가))",간장이랑 양념치킨 진짜 맛있어용,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/41985f290cb3def7b0d94aef740cc80b_tn.jpg
3일 전,본오동,청년치킨-상록수점,ch**님,3일 전,청년（뿌링치즈반＋후반）/1(뼈or순살 선택(순살＋콜라500mL)),요즘 치킨 요기서만먹게되네요가격도싸고 너무맛있어요또시켜먹을께요!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f051caaecbe81d24d3596d3ccdd1d99e_tn.jpg
3일 전,본오동,청년치킨-상록수점,ju**님,3일 전,청년 뿌링치즈치킨 강추!/1(뼈or순살 선택(순살＋콜라500mL)),양 많고 맛도 있습니다. 다만 살이 없는 자잘한 튀김이 좀 많네요. 그것만 빼면 맛있고 양 많아서 좋습니다. 리뷰로 온 감자도 맛있고 소스도 괜찮네요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/a3517826dd770c878ef36fdf7b2ed254_tn.jpg
5일 전,본오동,청년치킨-상록수점,ka**님,5일 전,청년（매양반＋핫간장반）/1(뼈or순살 선택(순살)),맛잇어요 바삭하고 매운맛도 맘에 들어요 재주문입니다 올때마다 먼가 푸짐하네요 사장님께서 챙겨주는 얼음 너무 감동이져 콜라를 더욱 시원하게 마실수잇어서 너무 행복합니다 또 오겠습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5c83672465fbf6d5076c20c81c86e84b_tn.jpg
6일 전,본오동,청년치킨-상록수점,su**님,6일 전,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),아주 맛있어요 오늘 또 시킴,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
6일 전,본오동,청년치킨-상록수점,mo**님,6일 전,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),굉장히 바삭함 맛있어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
일주일 전,본오동,청년치킨-상록수점,rh**님,일주일 전,청년1人세트（후반＋치즈양념감자＋콜라500mL）/1,맛있게 먹었습니다~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d75ac596ef5ecf3630849468b617f94f_tn.jpg
일주일 전,본오동,청년치킨-상록수점,wi**님,일주일 전,"청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL),추가선택(콜라1.25L로 변경))",맛있게 잘먹었습니다,5,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 26일,본오동,청년치킨-상록수점,be**님,2021년 10월 26일,청년（후반＋양반）/1(뼈or순살 선택(순살＋콜라500mL)),저번에 시켰을때보다 더 맛있어졌네요. 양념이 바뀐것같은데 더 맘에 듭니다:),5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2238f620ede730c246dd5d937c9475a4_tn.jpg
2021년 10월 25일,본오동,청년치킨-상록수점,go**님,2021년 10월 25일,청년1人세트（후반＋치즈양념감자＋콜라500mL）/1,첨 시켜 먹어본 청년치킨 맛나게 잘 먹었습니다  또 시켜 먹을게요,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/19b02a96f796f1b74527aa15e619f299_tn.jpg
2021년 10월 25일,본오동,청년치킨-상록수점,al**님,2021년 10월 25일,청년（후반＋간장반）/1(뼈or순살 선택(순살＋콜라500mL)),존맛탱~~~~ 가격도 싸고 배달도 빠르네요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 24일,본오동,청년치킨-상록수점,ka**님,2021년 10월 24일,"청년（뿌링치즈반＋후반）/1(뼈or순살 선택(순살＋콜라500mL),추가선택(특제 매운양념소스 추가))",짱 맛있어요ㅜㅠ바삭바삭 하고ㅠㅠ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/30ea07bd722013b6baffab280d56f2dc_tn.jpg
2021년 10월 22일,본오동,청년치킨-상록수점,yo**님,2021년 10월 22일,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),후라이드 바삭하고 맛있는집 드디어 찾았네요. 퍽퍽살 안좋아하는데 이것마저 부드럽네요. 감자도 치즈소스도 다아 맛있게 잘먹었어요!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/aded8ed218387b608204ec1646875a18_tn.jpg
2021년 10월 21일,본오동,청년치킨-상록수점,co**님,2021년 10월 21일,청년（후반＋양반）/1(뼈or순살 선택(순살＋콜라500mL)),오늘도 맛있게 잘 먹었습니다~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3dea05e3218344b68b94be5509b6552d_tn.jpg
2021년 10월 21일,본오동,청년치킨-상록수점,he**님,2021년 10월 21일,청년（후반＋양반）/1(뼈or순살 선택(순살＋콜라500mL)),배달은 빠르고 양은 푸짐~완전 잘 먹엇어요~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/62081524bd6ba1e7dcabf6b8dc9e2527_tn.jpg
2021년 10월 21일,본오동,청년치킨-상록수점,qh**님,2021년 10월 21일,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),치킨 너무 맛있게 먹었어요,4,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3838e18c96ca02a20466036e641b322b_tn.jpg
2021년 10월 19일,본오동,청년치킨-상록수점,jo**님,2021년 10월 19일,"청년（후반＋간장반）/1(뼈or순살 선택(뼈＋콜라500mL),추가선택(콜라1.25L로 변경),반마리 추가선택(뿌링치즈 반마리（뼈）추가))",사진을 못 찍었네요맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 18일,본오동,청년치킨-상록수점,ja**님,2021년 10월 18일,청년（뿌링치즈반＋후반）/1(뼈or순살 선택(뼈＋콜라500mL)),매번 시켜 먹지만언제 먹어도 맛나요감자칩이랑치즈가루도 두개씩이나감사합니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/893d9759286d61682fd34a9eb8c51c1d_tn.jpg
2021년 10월 18일,본오동,청년치킨-상록수점,   손님,2021년 10월 18일,"청년 뿌링치즈치킨 강추!/1(뼈or순살 선택(순살＋콜라500mL)),펩시콜라1.25L/1",gooooooooood,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 17일,본오동,청년치킨-상록수점,ty**님,2021년 10월 17일,청년（눈꽃반＋핫간장반）/1(뼈or순살 선택(뼈)),핫간장 꿀맛!!!!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f09372b6319005cde770dd7ddaf0dd48_tn.jpg
2021년 10월 17일,본오동,청년치킨-상록수점,mu**님,2021년 10월 17일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),오늘도 역시 포장해와서 맛있게 먹었네요~,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/30ddcc3dcee6ae69a0cb4fa425129531_tn.jpg
2021년 10월 15일,본오동,청년치킨-상록수점,ha**님,2021년 10월 15일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),555555555555,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2c1ca19e5ad0e922b0c75fe59941e4c5_tn.jpg
2021년 10월 15일,본오동,청년치킨-상록수점,ef**님,2021년 10월 15일,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),치킨 중독 맛집 ^^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 15일,본오동,청년치킨-상록수점,mu**님,2021년 10월 15일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),믿고 먹는 통닭 맛집.,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4fb5021876d67307944533e3a806e2de_tn.jpg
2021년 10월 15일,본오동,청년치킨-상록수점,io**님,2021년 10월 15일,청년 후라이드 바삭매콤/2(뼈or순살 선택(뼈＋콜라500mL)),넘 맛있게 잘먹었습니다...소스도 넘 맛있고요...담에 또주문할께요,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9e1fdc1dce8184fecd491623cdd447a9_tn.jpg
2021년 10월 13일,본오동,청년치킨-상록수점,he**님,2021년 10월 13일,청년（후반＋매운양반）/1(뼈or순살 선택(순살＋콜라500mL)),맛있게 자~~~~알 먹었습니다.번창하세용.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/14b20cf7a9e02af33b7bb3cce902b651_tn.jpg
2021년 10월 12일,본오동,청년치킨-상록수점,46**님,2021년 10월 12일,"청년（눈꽃반＋핫간장반）/1(뼈or순살 선택(순살),추가선택(콜라1.25L로 변경))",양도 많고 맛있어요! 핫간장 맛있네요 서비스 로온 소스도 진짜 맛있어용,5,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 12일,본오동,청년치킨-상록수점,ki**님,2021년 10월 12일,청년 뿌링치즈치킨 강추!/1(뼈or순살 선택(순살＋콜라500mL)),"맛과 양, 서비스까지 어느하나 빠지지않고  너무알차게 먹어서 치킨은 앞으로 청년치킨에서 시켜먹을거 같습니다!!",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/316c113aea37be5fffe6d2359870f633_tn.jpg
2021년 10월 12일,본오동,청년치킨-상록수점,ac**님,2021년 10월 12일,청년 뿌링치즈치킨 강추!/1(뼈or순살 선택(뼈＋콜라500mL)),"치즈가루를 듬뿍 넣어주셔서 풍미거 좋았구요, 배달도 빨라서 따뜻한 상태에서 즐길 수 있었습니다. 서비스로 감자튀김도 주시니 좋네요~",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4fedefe810f3d7d117779aa4a7c4d8d8_tn.jpg
2021년 10월 12일,본오동,청년치킨-상록수점,eu**님,2021년 10월 12일,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),치킨 바삭하니 맛있네요~ 잘 먹었습니다~^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2f320da7a20305b9114fbe35ba3b86ad_tn.jpg
2021년 10월 11일,본오동,청년치킨-상록수점,ns**님,2021년 10월 11일,청년 후라이드 바삭매콤/1(뼈or순살 선택(순살＋콜라500mL)),치즈감자튀김 못먹어서 아쉬워요ㅠㅠ같이 먹으면 맛있어서 먹고싶었는데ㅠㅠ그래도 치킨은 맛있으니 정말 맛있게잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/146868e21e9ef0f3df4192323389e3a9_tn.jpg
2021년 10월 11일,본오동,청년치킨-상록수점,mu**님,2021년 10월 11일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),믿고 먹는 변함없는 맛집.,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7dbde578a65f671055070b6183df321f_tn.jpg
