크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2시간 전,사동,BHC-안산사동점,ru**님,2시간 전,"뿌링핫도그/2,뿌링소떡/2,빨간소떡/2",잘 먹었습니다~~~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
16시간 전,사동,BHC-안산사동점,sy**님,16시간 전,"맛초킹 콤보/1(변경&추가(뿌링뿌링소스 추가),디저트(달콤바삭치즈볼))",매콤하고 맛있어서  자주 먹습니다,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6b2a19ea9ca2c420b4c87f6b0cfa5d8d_tn.jpg
2일 전,사동,BHC-안산사동점,lo**님,2일 전,"하바네로 포테킹 후라이드/1,뿌링클 콤보＋치즈볼/1","너무너무 맛있었어요.포테킹 처음먹어보는데 정말 정말 맛있었고, 다이어리도 왔는데 너무예뻐요 .뿌링클은 정말 인생치킨이예요. 요청사항도 친절히들어주시고 치킨이따뜻하게 와서 너무좋네요.치즈볼도 최고예요.",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ea1b288fa35663d2b9fb447899476af2_tn.jpg
4일 전,사동,BHC-안산사동점,ch**님,4일 전,매운맛양념치킨/1(옵션(콜라1.25L)),치킨은 역시 BHC!! 오랜만에 시켜먹었는데 너무 맛있어요👍 다음에 또 시켜먹을게요😊,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/36e65a0c72c7f9e566c2462a939c3726_tn.jpg
4일 전,사동,BHC-안산사동점,ho**님,4일 전,하바네로 포테킹 후라이드/1,엄마 맛있데요.전 잘 모르겠어요,3,3,3,----사장님 답글이 없어요 ----,이미지는 없어요
5일 전,사동,BHC-안산사동점,lo**님,5일 전,"뿌링클 콤보/1,맛초킹 콤보/1",맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
5일 전,사동,BHC-안산사동점,dl**님,5일 전,뿌링클（반）＋치즈볼/1,잘 먹었습니다~~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/dd3909c3d13b328df2c31d117f1ca57b_tn.jpg
6일 전,사동,BHC-안산사동점,gu**님,6일 전,후라이드 반／양념 반/1,맛잇게 잘먹었습니다~~~!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/edc3c8a0a62fc206bc7b81477417bba1_tn.jpg
6일 전,사동,BHC-안산사동점,db**님,6일 전,뿌링클순살/1(디저트(뿌링치즈볼)),제가 지난 몇년간 몇 번이나 시켜먹었을까요? 뿌링클만해도 족히 삼십번은 먹지 않았을까 싶은데 항상 믿고 먹는 곳이에요 맛있어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
6일 전,사동,BHC-안산사동점,ho**님,6일 전,뿌링클/1,맛있었어요! 뿌링클 가루 양이 많아서 좋은 거 같아요.,4,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/0404eca5fe629c4de9c3173408b6f287_tn.jpg
6일 전,사동,BHC-안산사동점,co**님,6일 전,포테킹 후라이드/1,맛있게 잘 먹었습니다~,5,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 25일,사동,BHC-안산사동점,da**님,2021년 10월 25일,핫후라이드/1,변함없는 맛!!! 언제나 맛있어요^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5517246e06062f4d791b5b71ae5b4df6_tn.jpg
2021년 10월 25일,사동,BHC-안산사동점,ba**님,2021년 10월 25일,맛초킹/1,안녕하세요저는 bhc맛초킹러버입니다.여긴 닭이 너무딱딱해요치킨튀겨본적이없어서 왜 이렇게 살이 딱딱해지는지 모르겠지만 탄건지뭔지 육포같이 딱딱해서 턱이 아립니다. 튀기고나서 말린거같기도하고 일단 닭다리하고 날개만집어먹고 다른부위를 질겅질겅씹다가 사각턱될거같아서 다 버리게됐네요. 제가 복불복에 잘못걸렸다 생각하고 재주문은 하지않겠습니다.,3,5,4,죄송합니다맛쵸킹에 입히는 고구마 감자전분으로 정제수를 섞어서 조리하는데 이때정제수양이 더 많이들어가면  묽어져서 질기거나딱딱해지는데  주문하나하나정성들여 조리를 했어야했는데 정말죄송스럽습니다조리사들에게 다시 재교육하고 고객님같이실망을드리는일이없도록  하겠습니다,이미지는 없어요
2021년 10월 25일,사동,BHC-안산사동점,el**님,2021년 10월 25일,하바네로 포테킹 후라이드/1,가게가 집 근처에 있어 자주 배달 시켜 먹어요.포테킹 지난번에 먹었을때는 느끼한 맛이 강했는데 이번에는 바삭하고 고소한게 참 맛있네요. 함께온 할라피뇨 소스낭도 궁합이 잘 맞아 느끼하지 않게 잘 먹었습니다.,5,5,5,겉에 붙는 감자가 기름을 많이 먹어서 완전새기름아니면  느끼할수있습니다,https://rev-static.yogiyo.co.kr/9dc94fe658ae23cb70a97a6a55826c66_tn.jpg
2021년 10월 25일,사동,BHC-안산사동점,yu**님,2021년 10월 25일,맛초킹순살/1(디저트(케이준프라이)),맛있게 잘먹었습니다,5,5,5,감사합니다 ,https://rev-static.yogiyo.co.kr/e45950920244c2d507a04d331ca24f95_tn.jpg
2021년 10월 25일,사동,BHC-안산사동점,im**님,2021년 10월 25일,뿌링클/1(옵션(콜라1.25L)),일찍받고 맛있게 먹었어요,5,5,5,감사합니다 ,이미지는 없어요
2021년 10월 24일,사동,BHC-안산사동점,qe**님,2021년 10월 24일,뿌링클（반）＋치즈볼/1(디저트(뿌링감자)),너무 맛있어서 금방 다먹었어요••^^,5,5,5,감사합니다 ,https://rev-static.yogiyo.co.kr/11f9122baeeb5c3057f7bfabc8181620_tn.jpg
2021년 10월 24일,사동,BHC-안산사동점,ch**님,2021년 10월 24일,"맛초킹 콤보/1(디저트(뿌링소떡),옵션(콜라1.25L))",배달빠르고 치킨맛잇음,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 24일,사동,BHC-안산사동점,rl**님,2021년 10월 24일,뿌링클/1,맛있어요또시킬게요오,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 24일,사동,BHC-안산사동점,ah**님,2021년 10월 24일,맛초킹（반）＋치즈볼/1,새로생기고 첨주문했는데 1인이먹기딱이고 매운맛보다짭짤해서 치밥으로넘좋은메뉴예요~~^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/299e7084a6a923d65d9e0dbd3afacded_tn.jpg
2021년 10월 24일,사동,BHC-안산사동점,zo**님,2021년 10월 24일,"빅콜팝/1(변경&추가(뿌링뿌링소스 추가),디저트(케이준프라이))",맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 24일,사동,BHC-안산사동점,au**님,2021년 10월 24일,후라이드 반／양념 반/1,오늘도 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
